timestamp,left_e0,left_e1,left_s0,left_s1,left_w0,left_w1,left_w2,right_e0,right_e1,right_s0,right_s1,right_w0,right_w1,right_w2
0.569058,-0.534095,0.571731,-0.328385,-0.251580,-1.276418,0.985782,0.159453,0.533878,0.563688,0.313921,-0.259898,1.285959,0.974931,-0.158373
0.573637,-0.534171,0.561779,-0.330609,-0.251861,-1.283390,0.984050,0.159292,0.533961,0.554565,0.316981,-0.259850,1.293190,0.970881,-0.158278
0.578217,-0.534288,0.552686,-0.333073,-0.252150,-1.290095,0.979565,0.159231,0.534045,0.546835,0.320493,-0.259732,1.299709,0.963861,-0.158127
0.582797,-0.534445,0.542434,-0.336951,-0.252545,-1.298117,0.969632,0.159050,0.534108,0.538789,0.325473,-0.259542,1.306581,0.951022,-0.157965
0.587377,-0.534553,0.535660,-0.340160,-0.252933,-1.303680,0.958791,0.158909,0.534070,0.533701,0.329725,-0.259330,1.311294,0.939235,-0.157824
0.591956,-0.534599,0.529639,-0.343615,-0.253198,-1.308792,0.946329,0.158680,0.534059,0.528930,0.334585,-0.259075,1.315107,0.925516,-0.157662
0.596536,-0.534668,0.525652,-0.346467,-0.253400,-1.311655,0.935897,0.158561,0.533995,0.525794,0.338583,-0.258831,1.316716,0.914177,-0.157564
0.601116,-0.534722,0.520887,-0.350582,-0.253662,-1.313712,0.919898,0.158399,0.533824,0.521981,0.344528,-0.258408,1.317160,0.897488,-0.157479
0.605695,-0.534757,0.516800,-0.354837,-0.253883,-1.314440,0.902591,0.158214,0.533343,0.518366,0.350867,-0.257482,1.317091,0.879994,-0.157518
0.610275,-0.534424,0.513011,-0.359730,-0.254053,-1.315170,0.883938,0.158083,0.532197,0.514235,0.357856,-0.255586,1.317013,0.861626,-0.157549
0.614855,-0.533628,0.508941,-0.365350,-0.254017,-1.315885,0.864369,0.157933,0.529915,0.509106,0.365558,-0.252348,1.316968,0.842702,-0.157558
0.619435,-0.531932,0.503827,-0.371960,-0.253347,-1.316634,0.843918,0.157718,0.526549,0.502631,0.373846,-0.247665,1.316908,0.823300,-0.157606
0.624014,-0.529112,0.496606,-0.380361,-0.250945,-1.317490,0.820764,0.157616,0.522002,0.493998,0.383163,-0.240860,1.316815,0.802108,-0.157636
0.628594,-0.525894,0.489176,-0.387939,-0.247086,-1.318228,0.802430,0.157679,0.517754,0.485282,0.390825,-0.233872,1.316753,0.785976,-0.157688
0.633174,-0.522874,0.482221,-0.394412,-0.242707,-1.318889,0.788523,0.157683,0.514088,0.477313,0.396944,-0.227526,1.316687,0.773981,-0.157711
0.637754,-0.519420,0.474714,-0.400650,-0.237119,-1.319551,0.776569,0.157631,0.510018,0.469215,0.402686,-0.220682,1.316591,0.763817,-0.157723
0.642333,-0.514606,0.465359,-0.407818,-0.229423,-1.320291,0.764484,0.157556,0.504112,0.459554,0.409245,-0.212144,1.316446,0.753020,-0.157699
0.646913,-0.508890,0.455728,-0.414612,-0.221009,-1.320751,0.754398,0.157495,0.496905,0.449913,0.415546,-0.203031,1.316207,0.743137,-0.157690
0.651493,-0.502189,0.446070,-0.421453,-0.212140,-1.320828,0.744655,0.157449,0.488876,0.440336,0.421704,-0.193239,1.316036,0.732818,-0.157680
0.656072,-0.495048,0.436679,-0.428401,-0.202934,-1.320935,0.734711,0.157484,0.480809,0.431102,0.427602,-0.183132,1.315875,0.722035,-0.157687
0.660652,-0.484552,0.424112,-0.438090,-0.189546,-1.321003,0.720786,0.157453,0.469681,0.418647,0.435183,-0.168882,1.315184,0.708298,-0.157762
0.665232,-0.476377,0.414866,-0.445303,-0.179042,-1.320809,0.711296,0.157408,0.461265,0.409519,0.440527,-0.158078,1.314410,0.698784,-0.157734
0.669812,-0.467192,0.404903,-0.452894,-0.167322,-1.320535,0.701750,0.157402,0.451875,0.400178,0.446099,-0.146315,1.313548,0.688949,-0.157758
0.674391,-0.460870,0.398366,-0.457735,-0.159256,-1.320306,0.695556,0.157417,0.445374,0.394659,0.449617,-0.138645,1.312978,0.682788,-0.157777
0.678971,-0.451480,0.389610,-0.464255,-0.147360,-1.319908,0.687190,0.157451,0.436009,0.388366,0.454147,-0.128082,1.312108,0.674514,-0.157803
0.683551,-0.441744,0.382158,-0.470239,-0.134973,-1.319424,0.678944,0.157471,0.426762,0.383629,0.458161,-0.117981,1.311161,0.666265,-0.157784
0.688130,-0.431826,0.376377,-0.475601,-0.122728,-1.318954,0.670614,0.157439,0.417591,0.380502,0.461893,-0.108383,1.310262,0.657975,-0.157801
0.692710,-0.421713,0.372489,-0.480416,-0.111026,-1.318205,0.662182,0.157367,0.408180,0.378966,0.465350,-0.099330,1.308605,0.649561,-0.157787
0.697290,-0.412319,0.370148,-0.484477,-0.100777,-1.316414,0.654358,0.157356,0.399533,0.378574,0.468300,-0.091304,1.305989,0.641778,-0.157801
0.701870,-0.398888,0.368635,-0.489648,-0.087970,-1.312797,0.642813,0.157419,0.387754,0.378724,0.472365,-0.079981,1.301543,0.630562,-0.157777
0.706449,-0.390192,0.368139,-0.492961,-0.079964,-1.309951,0.634665,0.157504,0.380609,0.378784,0.475043,-0.071966,1.298453,0.623012,-0.157781
0.711029,-0.384276,0.367941,-0.495239,-0.074399,-1.307763,0.628827,0.157495,0.376105,0.378821,0.476928,-0.066274,1.295747,0.617889,-0.157801
0.715609,-0.379058,0.367848,-0.497282,-0.069172,-1.305164,0.623649,0.157461,0.372380,0.378800,0.478653,-0.060885,1.292927,0.613486,-0.157800
0.720189,-0.372039,0.367699,-0.499956,-0.061361,-1.301044,0.616782,0.157488,0.367148,0.378741,0.481179,-0.052895,1.288594,0.607611,-0.157811
0.724768,-0.365726,0.367562,-0.502257,-0.053750,-1.296892,0.610956,0.157457,0.362260,0.378679,0.483489,-0.044914,1.284393,0.602678,-0.157790
0.729348,-0.359873,0.367377,-0.504169,-0.046183,-1.292771,0.606162,0.157485,0.357465,0.378617,0.485569,-0.036681,1.280555,0.598789,-0.157712
0.733928,-0.354375,0.367194,-0.505870,-0.038239,-1.288763,0.602263,0.157511,0.352791,0.378602,0.487270,-0.027960,1.276783,0.595798,-0.157762
0.738507,-0.349443,0.367022,-0.507308,-0.030078,-1.284860,0.599172,0.157539,0.348376,0.378542,0.488536,-0.019242,1.273022,0.593552,-0.157780
0.743087,-0.343953,0.366950,-0.508761,-0.018908,-1.279727,0.595919,0.157519,0.343325,0.378454,0.489703,-0.007768,1.268126,0.590845,-0.157744
0.747667,-0.340421,0.366910,-0.509681,-0.010371,-1.275905,0.593811,0.157506,0.339755,0.378367,0.490377,0.000678,1.264532,0.588929,-0.157705
0.752247,-0.337396,0.366969,-0.510496,-0.002145,-1.272179,0.591939,0.157569,0.336375,0.378262,0.490912,0.008694,1.261122,0.587154,-0.157695
0.756826,-0.334406,0.367116,-0.511271,0.006543,-1.268261,0.589852,0.157579,0.333184,0.378139,0.491484,0.017669,1.257826,0.585129,-0.157751
0.761406,-0.331555,0.367224,-0.511864,0.015145,-1.265267,0.587827,0.157561,0.330089,0.377950,0.492159,0.027206,1.255770,0.583152,-0.158242
0.765986,-0.329029,0.367381,-0.512484,0.024081,-1.263341,0.585808,0.157558,0.326893,0.377070,0.493128,0.037351,1.254364,0.581114,-0.158828
0.770566,-0.326501,0.367452,-0.513157,0.033441,-1.261798,0.583854,0.157534,0.323738,0.375117,0.494442,0.048167,1.253139,0.579053,-0.159348
0.775145,-0.322824,0.366593,-0.514246,0.047381,-1.260025,0.580973,0.157637,0.319524,0.371580,0.496486,0.063594,1.252103,0.576037,-0.160113
0.779725,-0.319111,0.364665,-0.515448,0.062652,-1.259374,0.577866,0.157927,0.315279,0.368033,0.498683,0.079146,1.251861,0.573427,-0.161139
0.784305,-0.316200,0.362615,-0.516284,0.074366,-1.259045,0.575961,0.158302,0.312158,0.365425,0.500365,0.090543,1.251773,0.572476,-0.162052
0.788884,-0.313424,0.360528,-0.516989,0.085486,-1.258680,0.574400,0.158761,0.309214,0.362994,0.502175,0.101241,1.251599,0.571119,-0.162916
0.793464,-0.310381,0.358123,-0.517702,0.097732,-1.258406,0.571921,0.159316,0.306006,0.360234,0.504722,0.113147,1.251423,0.568191,-0.163853
0.798044,-0.307226,0.355720,-0.518669,0.109963,-1.258032,0.567954,0.159794,0.303106,0.357445,0.507783,0.124949,1.251289,0.563229,-0.164730
0.802624,-0.304144,0.353173,-0.520259,0.122101,-1.257772,0.562060,0.160441,0.300344,0.353813,0.511539,0.137064,1.251280,0.556701,-0.165669
